epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,242.986,1.58096,0.87044,0.90387,0.90993,0.78001,0.84795,0.39982,1.93631,1.21702,0.95982,0.000109,0.000109,0.000109
92,245.698,1.53166,0.83454,0.90274,0.90554,0.77503,0.85418,0.40251,1.93597,1.23675,0.96074,9.91e-05,9.91e-05,9.91e-05
93,248.327,1.51327,0.80587,0.89773,0.90083,0.78341,0.85342,0.41454,1.91958,1.19694,0.95652,8.92e-05,8.92e-05,8.92e-05
94,250.95,1.49115,0.8056,0.8917,0.91197,0.80299,0.85864,0.41937,1.88384,1.16331,0.94986,7.93e-05,7.93e-05,7.93e-05
95,253.559,1.49856,0.81442,0.89,0.90354,0.79252,0.85398,0.42005,1.88933,1.16974,0.95222,6.94e-05,6.94e-05,6.94e-05
96,256.183,1.5026,0.80889,0.89544,0.90525,0.78884,0.84883,0.41484,1.89429,1.16049,0.95015,5.95e-05,5.95e-05,5.95e-05
97,258.782,1.45499,0.7896,0.88439,0.90386,0.80334,0.86206,0.42482,1.89462,1.16179,0.94993,4.96e-05,4.96e-05,4.96e-05
98,261.38,1.48643,0.79884,0.88491,0.90245,0.80049,0.86092,0.42632,1.89003,1.15717,0.9498,3.97e-05,3.97e-05,3.97e-05
99,263.984,1.51497,0.85136,0.89091,0.9047,0.7992,0.85702,0.42351,1.89929,1.16183,0.95091,2.98e-05,2.98e-05,2.98e-05
100,266.613,1.46025,0.77263,0.88596,0.9141,0.79571,0.85784,0.4207,1.90174,1.16232,0.95002,1.99e-05,1.99e-05,1.99e-05
